symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2018-07-23 00:00:00+00:00,191.61,191.96,189.56,190.68,15989365,45.7753784681,45.8589930104,45.2856361485,45.5532026841,63957460,0.0,1.0
AAPL,2018-07-24 00:00:00+00:00,193.0,193.66,192.05,192.45,18697898,46.1074476506,46.2651207877,45.8804938928,45.9760533698,74791592,0.0,1.0
AAPL,2018-07-25 00:00:00+00:00,194.82,194.85,192.43,193.06,16826483,46.542243271,46.5494102317,45.9712753959,46.1217815722,67305932,0.0,1.0
AAPL,2018-07-26 00:00:00+00:00,194.21,195.96,193.61,194.61,19075964,46.3965150686,46.8145877804,46.2531758531,46.4920745455,76303856,0.0,1.0
AAPL,2018-07-27 00:00:00+00:00,190.98,195.19,190.1,194.99,24023972,45.6248722918,46.6306357872,45.4146414424,46.5828560487,96095888,0.0,1.0
AAPL,2018-07-30 00:00:00+00:00,189.91,192.2,189.07,191.9,21029535,45.3692506908,45.9163286966,45.1685757892,45.8446590889,84118140,0.0,1.0
AAPL,2018-07-31 00:00:00+00:00,190.29,192.14,189.34,190.3,39373038,45.460032194,45.9019947751,45.2330784361,45.4624211809,157492152,0.0,1.0
AAPL,2018-08-01 00:00:00+00:00,201.5,201.76,197.31,199.13,67935716,48.1380865368,48.2002001969,47.1371010153,47.5718966356,271742864,0.0,1.0
AAPL,2018-08-02 00:00:00+00:00,207.39,208.38,200.35,200.58,62404012,49.5451998356,49.7817095411,47.8633530404,47.9182997397,249616048,0.0,1.0
AAPL,2018-08-03 00:00:00+00:00,207.99,208.74,205.48,207.03,33447396,49.6885390511,49.8677130704,49.0889033329,49.4591963063,133789584,0.0,1.0
AAPL,2018-08-06 00:00:00+00:00,209.07,209.25,207.07,208.0,25425387,49.946549639,49.9895514036,49.468752254,49.690928038,101701548,0.0,1.0
AAPL,2018-08-07 00:00:00+00:00,207.11,209.5,206.76,209.32,25587387,49.4783082017,50.0492760767,49.3946936593,50.0062743121,102349548,0.0,1.0
AAPL,2018-08-08 00:00:00+00:00,207.25,207.81,204.52,206.05,22525487,49.5117540186,49.6455372864,48.8595605881,49.2250755876,90101948,0.0,1.0
AAPL,2018-08-09 00:00:00+00:00,208.88,209.78,207.2,207.28,23492626,49.9011588874,50.1161677106,49.499809084,49.5189209794,93970504,0.0,1.0
AAPL,2018-08-10 00:00:00+00:00,207.53,209.1,206.67,207.36,24611202,49.753041698,50.1294319812,49.5468661289,49.7122860623,98444808,0.73,1.0
AAPL,2018-08-13 00:00:00+00:00,208.87,210.95,207.7,207.7,25890880,50.0742920034,50.5729491939,49.7937973338,49.7937973338,103563520,0.0,1.0
AAPL,2018-08-14 00:00:00+00:00,209.75,210.56,208.26,210.16,20748010,50.2852623532,50.4794509707,49.9280511928,50.3835553571,82992040,0.0,1.0
AAPL,2018-08-15 00:00:00+00:00,210.24,210.74,208.33,209.22,28807564,50.4027344798,50.5226039967,49.9448329251,50.1582006653,115230256,0.0,1.0
AAPL,2018-08-16 00:00:00+00:00,213.32,213.81,211.47,211.75,28500367,51.1411307041,51.2586028307,50.6976134915,50.764740421,114001468,0.0,1.0
AAPL,2018-08-17 00:00:00+00:00,217.58,217.95,213.16,213.44,35426997,52.1624189884,52.2511224309,51.1027724587,51.1698993882,141707988,0.0,1.0
AAPL,2018-08-20 00:00:00+00:00,215.46,219.18,215.11,218.1,30287695,51.6541722366,52.5460014426,51.5702635747,52.287083286,121150780,0.0,1.0
AAPL,2018-08-21 00:00:00+00:00,215.04,217.19,214.03,216.8,26159755,51.5534818424,52.0689207652,51.3113454182,51.975422542,104639020,0.0,1.0
AAPL,2018-08-22 00:00:00+00:00,215.05,216.36,213.84,214.1,19018131,51.5558792327,51.8699373671,51.2657950017,51.3281271505,76072524,0.0,1.0
AAPL,2018-08-23 00:00:00+00:00,215.49,217.05,214.6,214.65,18883224,51.6613644076,52.0353573004,51.4479966675,51.4599836192,75532896,0.0,1.0
AAPL,2018-08-24 00:00:00+00:00,216.16,216.9,215.11,216.6,18476356,51.8219895603,51.9993964454,51.5702635747,51.9274747352,73905424,0.0,1.0
AAPL,2018-08-27 00:00:00+00:00,217.94,218.74,216.33,217.15,20525117,52.2487250406,52.4405162677,51.8627451961,52.0593312038,82100468,0.0,1.0
AAPL,2018-08-28 00:00:00+00:00,219.7,220.54,218.92,219.01,22776766,52.6706657402,52.8720465286,52.4836692938,52.5052458068,91107064,0.0,1.0
AAPL,2018-08-29 00:00:00+00:00,222.98,223.49,219.41,220.15,27254804,53.4570097713,53.5792766785,52.6011414204,52.7785483054,109019216,0.0,1.0
AAPL,2018-08-30 00:00:00+00:00,225.03,228.26,222.4,223.25,48793824,53.9484747907,54.7228318701,53.3179611316,53.5217393104,195175296,0.0,1.0
AAPL,2018-08-31 00:00:00+00:00,227.63,228.87,226.0,226.51,43340134,54.5717962787,54.8690726807,54.1810216535,54.3032885608,173360536,0.0,1.0
